CP015625.1,BaApis_BBC0122.fna
JATM01000011.1,BoIntestini_R52487.fna
JATM01000012.1,BoIntestini_R52487.fna
JATM01000004.1,BoIntestini_R52487.fna
JATM01000001.1,BoIntestini_R52487.fna
JATM01000003.1,BoIntestini_R52487.fna
JATM01000002.1,BoIntestini_R52487.fna
JATM01000009.1,BoIntestini_R52487.fna
JATM01000006.1,BoIntestini_R52487.fna
JATM01000010.1,BoIntestini_R52487.fna
JATM01000007.1,BoIntestini_R52487.fna
WNIF01000005.1,BoSp_ESL0378.fna
WNIF01000006.1,BoSp_ESL0378.fna
WNIF01000007.1,BoSp_ESL0378.fna
WNIF01000010.1,BoSp_ESL0378.fna
WNIF01000002.1,BoSp_ESL0378.fna
WNIF01000008.1,BoSp_ESL0378.fna
WNIF01000009.1,BoSp_ESL0378.fna
WNIF01000004.1,BoSp_ESL0378.fna
WNIF01000001.1,BoSp_ESL0378.fna
WNIF01000011.1,BoSp_ESL0378.fna
WNIF01000012.1,BoSp_ESL0378.fna
WNIF01000013.1,BoSp_ESL0378.fna
WNIF01000014.1,BoSp_ESL0378.fna
WNIF01000003.1,BoSp_ESL0378.fna
WNIF01000015.1,BoSp_ESL0378.fna
WNIJ01000001.1,BoSp_ESL0385.fna
WNIJ01000002.1,BoSp_ESL0385.fna
WNIJ01000003.1,BoSp_ESL0385.fna
WNIJ01000004.1,BoSp_ESL0385.fna
WNIJ01000005.1,BoSp_ESL0385.fna
CP047652.1,BoSp_KACC21507.fna
CP047653.1,BoSp_KACC21507.fna
QGTI01000001.1,FrPerrara_DSM104328.fna
QGTI01000002.1,FrPerrara_DSM104328.fna
QGTI01000003.1,FrPerrara_DSM104328.fna
QGTI01000004.1,FrPerrara_DSM104328.fna
QGTI01000005.1,FrPerrara_DSM104328.fna
QGTI01000006.1,FrPerrara_DSM104328.fna
QGTI01000007.1,FrPerrara_DSM104328.fna
QGTI01000008.1,FrPerrara_DSM104328.fna
QGTI01000009.1,FrPerrara_DSM104328.fna
QGTI01000010.1,FrPerrara_DSM104328.fna
QGTI01000011.1,FrPerrara_DSM104328.fna
QGTI01000012.1,FrPerrara_DSM104328.fna
QGTI01000013.1,FrPerrara_DSM104328.fna
QGTI01000014.1,FrPerrara_DSM104328.fna
QGTI01000015.1,FrPerrara_DSM104328.fna
QGTI01000016.1,FrPerrara_DSM104328.fna
QGTI01000017.1,FrPerrara_DSM104328.fna
QGTI01000018.1,FrPerrara_DSM104328.fna
QGTI01000019.1,FrPerrara_DSM104328.fna
QGTI01000020.1,FrPerrara_DSM104328.fna
QGTI01000021.1,FrPerrara_DSM104328.fna
QGTI01000022.1,FrPerrara_DSM104328.fna
QGTI01000023.1,FrPerrara_DSM104328.fna
QGTI01000024.1,FrPerrara_DSM104328.fna
QGTI01000025.1,FrPerrara_DSM104328.fna
QGTI01000026.1,FrPerrara_DSM104328.fna
QGTI01000027.1,FrPerrara_DSM104328.fna
QGTI01000028.1,FrPerrara_DSM104328.fna
QGTI01000029.1,FrPerrara_DSM104328.fna
QGTI01000030.1,FrPerrara_DSM104328.fna
QGTI01000031.1,FrPerrara_DSM104328.fna
QGTI01000032.1,FrPerrara_DSM104328.fna
QGTI01000033.1,FrPerrara_DSM104328.fna
QGTI01000034.1,FrPerrara_DSM104328.fna
QGTI01000035.1,FrPerrara_DSM104328.fna
QGTI01000036.1,FrPerrara_DSM104328.fna
QGTI01000037.1,FrPerrara_DSM104328.fna
QGTI01000038.1,FrPerrara_DSM104328.fna
QGTI01000039.1,FrPerrara_DSM104328.fna
QGTI01000040.1,FrPerrara_DSM104328.fna
QGTI01000041.1,FrPerrara_DSM104328.fna
QGTI01000042.1,FrPerrara_DSM104328.fna
QGTI01000043.1,FrPerrara_DSM104328.fna
QGTI01000044.1,FrPerrara_DSM104328.fna
QGTI01000045.1,FrPerrara_DSM104328.fna
QGTI01000046.1,FrPerrara_DSM104328.fna
QGTI01000047.1,FrPerrara_DSM104328.fna
QGTI01000048.1,FrPerrara_DSM104328.fna
QGTI01000049.1,FrPerrara_DSM104328.fna
QGTI01000050.1,FrPerrara_DSM104328.fna
QGTI01000051.1,FrPerrara_DSM104328.fna
QGTI01000052.1,FrPerrara_DSM104328.fna
QGTI01000053.1,FrPerrara_DSM104328.fna
QGTI01000054.1,FrPerrara_DSM104328.fna
QGTI01000055.1,FrPerrara_DSM104328.fna
QGTI01000056.1,FrPerrara_DSM104328.fna
QGTI01000057.1,FrPerrara_DSM104328.fna
QGTI01000058.1,FrPerrara_DSM104328.fna
QGTI01000059.1,FrPerrara_DSM104328.fna
QGTI01000060.1,FrPerrara_DSM104328.fna
QGTI01000061.1,FrPerrara_DSM104328.fna
QGTI01000062.1,FrPerrara_DSM104328.fna
QGTI01000063.1,FrPerrara_DSM104328.fna
QGTI01000064.1,FrPerrara_DSM104328.fna
QGTI01000065.1,FrPerrara_DSM104328.fna
QGTI01000066.1,FrPerrara_DSM104328.fna
QGTI01000067.1,FrPerrara_DSM104328.fna
QGLM01000001.1,FrPerrara_ESL0167.fna
QGLM01000002.1,FrPerrara_ESL0167.fna
QGLM01000003.1,FrPerrara_ESL0167.fna
QGLM01000004.1,FrPerrara_ESL0167.fna
QGLM01000005.1,FrPerrara_ESL0167.fna
QGLM01000006.1,FrPerrara_ESL0167.fna
QGLM01000007.1,FrPerrara_ESL0167.fna
QGLM01000008.1,FrPerrara_ESL0167.fna
